top_depth,bot_depth,top_age,bot_age,vol,char_c,char_a
309.57,310.64,5588,5631,1,0,0
310.64,311.7,5631,5674,1,0,0
311.7,312.77,5674,5718,1,2,0.0467
312.77,313.83,5718,5761,1,0,0
313.83,314.89,5761,5804,1,0,0
314.89,315.96,5804,5848,1,1,0.0283
315.96,317.02,5848,5891,1,2,0.1262
317.02,318.09,5891,5935,1,1,0.0263
318.09,319.15,5935,5978,1,3,0.1035
319.15,320.21,5978,6021,1,2,0.0936
320.21,321.28,6021,6065,1,1,0.0723
321.28,322.34,6065,6108,1,0,0
322.34,323.4,6108,6150,1,0,0
323.4,324.47,6150,6194,1,3,0.1687
324.47,325.53,6194,6236,1,0,0
325.53,326.6,6236,6279,1,0,0
326.6,327.66,6279,6321,1,0,0
327.66,328.72,6321,6362,1,3,0.1764
328.72,329.79,6362,6404,1,0,0
329.79,330.85,6404,6445,1,0,0
330.85,331.91,6445,6486,1,3,0.0527
331.91,332.98,6486,6526,1,0,0
332.98,334.04,6526,6566,1,0,0
334.04,335.11,6566,6606,1,0,0
335.11,336.17,6606,6645,1,2,0.1263
336.17,337.23,6645,6683,1,2,0.188
337.23,338.3,6683,6721,1,1,0.0491
338.3,339.36,6721,6758,1,0,0
339.36,340.43,6758,6795,1,3,0.1664
340.43,341.49,6795,6831,1,0,0
341.49,342.55,6831,6866,1,1,0.1727
342.55,343.62,6866,6901,1,0,0
343.62,344.68,6901,6934,1,2,0.0475
344.68,345.74,6934,6967,1,1,0.0532
345.74,346.81,6967,6999,1,4,0.1141
346.81,347.87,6999,7031,1,3,0.112
347.87,348.94,7031,7061,1,3,0.1271
348.94,350,7061,7091,1,0,0
350,351.06,7091,7119,1,0,0
351.06,352.13,7119,7147,1,3,0.1742
352.13,353.19,7147,7174,1,2,0.1964
353.19,354.26,7174,7200,1,0,0
354.26,355.32,7200,7224,1,2,0.1133
355.32,356.38,7224,7248,1,8,0.2962
356.38,357.45,7248,7271,1,2,0.0926
357.45,358.51,7271,7292,1,0,0
358.51,359.57,7292,7313,1,0,0
359.57,360.64,7313,7333,1,1,0.148
360.64,361.7,7333,7352,1,0,0
361.7,362.77,7352,7370,1,0,0
362.77,363.83,7370,7388,1,0,0
363.83,364.89,7388,7405,1,4,0.1921
364.89,365.96,7405,7421,1,4,0.1278
365.96,367.02,7421,7437,1,4,0.0674
367.02,368.09,7437,7453,1,0,0
368.09,369.15,7453,7468,1,0,0
369.15,370.21,7468,7482,1,6,0.203
370.21,371.28,7482,7497,1,2,0.0343
371.28,372.34,7497,7511,1,0,0
372.34,373.4,7511,7525,1,1,0.0101
373.4,374.47,7525,7538,1,1,0.0241
374.47,375.53,7538,7552,1,0,0
375.53,376.6,7552,7565,1,1,0.026
376.6,377.66,7565,7579,1,4,0.0812
377.66,378.72,7579,7592,1,1,0.0179
378.72,379.79,7592,7606,1,0,0
379.79,380.85,7606,7620,1,0,0
380.85,381.91,7620,7634,1,1,0.0177
381.91,382.98,7634,7648,1,2,0.0558
382.98,384.04,7648,7663,1,2,0.092
384.04,385.11,7663,7678,1,0,0
385.11,386.17,7678,7693,1,0,0
386.17,387.23,7693,7709,1,0,0
387.23,388.3,7709,7726,1,1,0.0128
388.3,389.36,7726,7743,1,0,0
389.36,390.43,7743,7760,1,5,0.1214
390.43,391.49,7760,7779,1,3,0.0377
391.49,392.55,7779,7798,1,1,0.0207
392.55,393.62,7798,7817,1,1,0.0542
393.62,394.68,7817,7838,1,3,0.1536
394.68,395.74,7838,7858,1,1,0.0327
395.74,396.81,7858,7880,1,3,0.0378
396.81,397.87,7880,7902,1,4,0.111
397.87,398.22,7902,7910,1,1,0.0632
398.22,398.57,7910,7917,1,2,0.0636
398.57,398.92,7917,7925,1,2,0.1176
398.92,399.27,7925,7932,1,0,0
399.27,399.62,7932,7940,1,0,0
399.62,399.97,7940,7948,1,0,0
399.97,400.32,7948,7955,1,0,0
400.32,400.67,7955,7963,1,0,0
400.67,401.02,7963,7971,1,0,0
401.02,402.04,7971,7994,1,0,0
402.04,403.06,7994,8018,1,0,0
403.06,404.08,8018,8042,1,1,0.0161
404.08,405.1,8042,8066,1,1,0.0329
405.1,406.12,8066,8091,1,2,0.0865
406.12,407.14,8091,8116,1,0,0
407.14,408.16,8116,8141,1,0,0
408.16,409.18,8141,8167,1,1,0.0297
409.18,410.2,8167,8193,1,5,0.3562
410.2,411.22,8193,8219,1,2,0.1842
411.22,412.24,8219,8245,1,0,0
412.24,413.27,8245,8272,1,2,0.161
413.27,414.29,8272,8299,1,2,0.0717
414.29,415.31,8299,8326,1,1,0.1081
415.31,416.33,8326,8353,1,6,0.2364
416.33,417.35,8353,8380,1,11,0.6425
417.35,418.37,8380,8407,1,5,0.3388
418.37,419.39,8407,8435,1,7,0.1469
419.39,420.41,8435,8462,1,8,0.3109
420.41,421.43,8462,8490,1,0,0
421.43,422.45,8490,8517,1,3,0.0728
422.45,423.47,8517,8544,1,1,0.008
423.47,424.49,8544,8572,1,8,0.4495
424.49,425.51,8572,8599,1,0,0
425.51,426.53,8599,8626,1,1,0.0293
426.53,427.55,8626,8653,1,2,0.1048
427.55,428.57,8653,8681,1,3,0.1364
428.57,429.59,8681,8707,1,0,0
429.59,430.61,8707,8734,1,2,0.0731
430.61,431.63,8734,8761,1,2,0.0529
431.63,432.65,8761,8787,1,2,0.1797
432.65,433.67,8787,8813,1,3,0.0857
433.67,434.69,8813,8839,1,7,0.303
434.69,435.71,8839,8864,1,5,0.1484
435.71,436.73,8864,8890,1,4,0.1898
436.73,437.76,8890,8915,1,1,0.0236
437.76,438.78,8915,8939,1,2,0.0705
438.78,439.8,8939,8964,1,2,0.1447
439.8,440.82,8964,8987,1,3,0.1676
440.82,441.84,8987,9011,1,1,0.053900000000000003
441.84,442.86,9011,9034,1,1,0.0553
442.86,443.88,9034,9056,1,5,0.3211
443.88,444.9,9056,9079,1,4,0.1041
444.9,445.92,9079,9100,1,2,0.0968
445.92,446.94,9100,9121,1,1,0.046
446.94,447.96,9121,9142,1,1,0.0342
447.96,448.98,9142,9162,1,1,0.3663
448.98,450,9162,9181,1,1,0.0603
450,451.02,9181,9200,1,2,0.0487
451.02,452.04,9200,9218,1,3,0.1542
452.04,453.06,9218,9236,1,2,0.0602
453.06,454.08,9236,9253,1,0,0
454.08,455.1,9253,9270,1,3,0.1367
455.1,456.12,9270,9286,1,6,0.1978
456.12,457.14,9286,9302,1,3,0.0555
457.14,458.16,9302,9317,1,2,0.1205
458.16,459.18,9317,9332,1,1,0.3337
459.18,460.2,9332,9346,1,8,0.7541
460.2,461.22,9346,9360,1,2,0.0583
461.22,462.24,9360,9374,1,3,0.0712
462.24,463.27,9374,9387,1,2,0.095
463.27,464.29,9387,9400,1,9,0.9699
464.29,465.31,9400,9413,1,11,0.3979
465.31,466.33,9413,9425,1,4,0.3658
466.33,467.35,9425,9438,1,12,0.8167
467.35,468.37,9438,9450,1,7,0.2715
468.37,469.39,9450,9461,1,11,0.4177
469.39,470.41,9461,9473,1,9,0.866
470.41,471.43,9473,9484,1,13,0.7874
471.43,472.45,9484,9496,1,9,0.5768
472.45,473.47,9496,9507,1,9,0.685
473.47,474.49,9507,9518,1,9,1.0596
474.49,475.51,9518,9529,1,2,0.10780000000000001
475.51,476.53,9529,9540,1,1,0.0156
476.53,477.55,9540,9551,1,5,0.1257
477.55,478.57,9551,9562,1,3,0.1691
478.57,479.59,9562,9573,1,1,0.0184
479.59,480.61,9573,9584,1,1,0.0305
480.61,481.63,9584,9595,1,4,0.2163
481.63,482.65,9595,9606,1,1,0.0286
482.65,483.67,9606,9618,1,0,0
483.67,484.69,9618,9629,1,5,0.2554
484.69,485.71,9629,9641,1,2,0.0565
485.71,486.73,9641,9652,1,4,0.1424
486.73,487.76,9652,9665,1,0,0
487.76,488.78,9665,9677,1,1,0.0296
488.78,489.8,9677,9689,1,3,0.0458
489.8,490.82,9689,9702,1,3,0.0527
490.82,491.84,9702,9715,1,11,0.293
491.84,492.86,9715,9728,1,1,0.0367
492.86,493.88,9728,9742,1,2,0.0903
493.88,494.9,9742,9756,1,6,0.3997
494.9,495.92,9756,9770,1,1,0.0821
495.92,496.94,9770,9785,1,3,0.1524
496.94,497.96,9785,9800,1,1,0.013
497.96,498.57,9800,9809,1,6,0.3301
498.57,499.18,9809,9819,1,2,0.0537
499.18,499.78,9819,9828,1,0,0
499.78,500.39,9828,9838,1,0,0
500.39,501,9838,9848,1,0,0
501,502,9848,9865,1,1,0.0353
502,503,9865,9882,1,7,0.4662
503,504,9882,9900,1,6,0.3009
504,505,9900,9918,1,7,0.2672
505,506,9918,9937,1,2,0.0877
506,507,9937,9956,1,3,0.0873
507,508,9956,9976,1,2,0.1283
508,509,9976,9997,1,3,0.111
509,510,9997,10018,1,5,0.2187
510,511,10018,10039,1,3,0.1339
511,512,10039,10060,1,3,0.1071
512,513,10060,10082,1,1,0.0387
513,514,10082,10104,1,4,0.1188
514,515,10104,10127,1,5,0.2403
515,516,10127,10150,1,1,0.0615
516,517,10150,10172,1,2,0.1266
517,518,10172,10195,1,1,0.0443
518,519,10195,10218,1,0,0
519,520,10218,10242,1,2,0.1142
520,521,10242,10265,1,2,0.092
521,522,10265,10288,1,4,0.2179
522,523,10288,10311,1,10,0.7194
523,524,10311,10334,1,0,0
524,525,10334,10358,1,1,0.0142
525,526,10358,10382,1,2,0.0636
526,527,10382,10406,1,3,0.0399
527,528,10406,10431,1,8,0.5954
528,529,10431,10457,1,1,0.0031
529,530,10457,10483,1,3,0.0875
530,531,10483,10509,1,0,0
531,532,10509,10537,1,1,0.6565
532,533,10537,10565,1,0,0
533,534,10565,10595,1,5,0.1321
534,535,10595,10625,1,9,0.4556
535,536,10625,10657,1,8,0.2481
536,537,10657,10690,1,10,0.3875
537,538,10690,10724,1,16,1.1267
538,539,10724,10759,1,9,0.5109
539,540,10759,10796,1,10,0.9284
540,541,10796,10834,1,6,0.7004
541,542,10834,10874,1,33,1.4766
542,543,10874,10916,1,35,0.7617
543,544,10916,10960,1,4,0.2217
544,545,10960,11005,1,5,0.0803
545,546,11005,11052,1,1,0.0487
546,547,11052,11102,1,6,0.2964
547,548,11102,11153,1,4,0.2872
548,549,11153,11206,1,25,1.267
549,550,11206,11261,1,2,0.0066
550,551,11261,11316,1,53,4.436
